ERROR | From root -> __init__ line no: 312 | Failed to create client from USER_SESSION_STRING
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603260>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603530>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa50495520>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa50494a40>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa504941a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa504964e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa50496690>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa50496840>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa504969f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa50496ba0>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa50496d50>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7baa50496f00>: Failed to establish a new connection: [Errno 111] Connection refused')': /
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=9, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa515e1ca0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=8, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603a10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=7, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603950>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=6, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa51603680>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=5, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa516037d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa516030e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa516038c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa50494830>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa50495640>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
WARNING | From urllib3.connectionpool -> connectionpool line no: 868 | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7baa50496990>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/v2/app/setPreferences
INFO | From root -> __init__ line no: 1305 | Starting Bot @TGHThingLeech_bot DC: 5.
WARNING | From tzlocal -> unix line no: 142 | /etc/timezone is deprecated on Debian, and no longer reliable. Ignoring.
ERROR | From root -> __init__ line no: 312 | Failed to create client from USER_SESSION_STRING
INFO | From root -> __init__ line no: 1305 | Starting Bot @TGHThingLeech_bot DC: 5.
WARNING | From tzlocal -> unix line no: 142 | /etc/timezone is deprecated on Debian, and no longer reliable. Ignoring.
INFO | From root -> __init__ line no: 1305 | Starting Bot @TGHThingLeech_bot DC: 5.
WARNING | From tzlocal -> unix line no: 142 | /etc/timezone is deprecated on Debian, and no longer reliable. Ignoring.
INFO | From root -> __init__ line no: 1305 | Starting Bot @TGHThingLeech_bot DC: 5.
WARNING | From tzlocal -> unix line no: 142 | /etc/timezone is deprecated on Debian, and no longer reliable. Ignoring.
